Name;Type;ID;Description;ParentElement;ElementType.Name;ElementType.Description;ElementType.ParentElement;Hidden;StrokeThickness;ImageLocation;SelectedStencilType;SelectedStencilConnection;StrokeDashArray;Attributes.Element:Text
Azure Notebooks;IT;SE.DS.TMCore.AzureNotebooks;Pre-configured Jupyter notebooks in the cloud.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Open Datasets;IT;b6114c01-3924-403f-bc99-e6f2a78c1060;Azure Open Datasets is curated and cleansed data - including weather, census, and holidays - that you can use with minimal preparation to enrich ML models.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Purview Accounts;IT;63084d27-1ffe-4af3-8610-fcf994f76a5e;Maximize the business value of data with Azure Purview, a unified data governance solution.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Redis Cache;IT;SE.DS.TMCore.Cache;Azure Redis Cache is based on the popular open-source Redis Cache. It gives you access to a secure dedicated Redis cache managed by Microsoft and accessible from any application within Azure.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Search;IT;SE.DS.TMCore.AzureSearch;Cloud Search Service;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure SQL Database Edge;IT;2d020410-d6db-4032-b38f-511f2214eef0;Azure SQL Database Edge is an optimized relational database engine geared for IoT and edge deployments.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure SQL Database Managed Instance;IT;b62dfb78-d9a6-4849-b4d3-3d3af3ab4a1d;The managed instance deployment option creates a database with near 100% compatibility with the latest SQL Server on-premises (Enterprise Edition) database engine.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Storage;IT;SE.DS.TMCore.CloudStorage;Azure Storage is the cloud storage solution for modern applications that rely on durability, availability, and scalability to meet the needs of their customers.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Synapse;IT;755003d2-10e7-4b8f-b9e9-b493fce16ae1;Azure Synapse is a limitless analytics service that brings together enterprise data warehousing and Big Data analytics.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Backup;IT;SE.DS.TMCore.Backup;Azure Backup is cloud service you can use to back up (or protect) and restore your data in the Microsoft cloud.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Configuration File;IT;SE.DS.TMCore.ConfigFile;"
      A configuration file, this includes XML, INI, and INF files.";GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
CosmosDB;IT;SE.DS.TMCore.NoSQL;NoSQL service for highly available, globally distributed apps—take full advantage of SQL and JavaScript over document and key-value data without the hassles of on-premises or virtual machine-based cloud database options.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Data Catalog;IT;SE.DS.TMCore.DataCatalog;Azure Data Catalog is a fully managed cloud service whose users can discover the data sources they need and understand the data sources they find.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Data Lake Analytics;IT;SE.DS.TMCore.DataLakeAnalytics;Azure Data Lake Analytics is an on-demand analytics job service that simplifies big data.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Data Lake Store;IT;SE.DS.TMCore.DataLakeStore;Azure Data Lake Storage is an enterprise-wide hyper-scale repository for big data analytic workloads.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Database;IT;SE.DS.TMCore.SQL;Represents a Database in Azure;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Device;IT;SE.DS.TMCore.Device;"
      A representation of device local storage.";GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Files;IT;SE.DS.TMCore.FS;Use Azure Files with virtual machines to mount a shared file system using the SMB protocol. Your VMs can access the file system using standard Windows file APIs (CreateFile, ReadFile, WriteFile, etc.).;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
HDInsight;IT;SE.DS.TMCore.Cookie;Azure HDInsight is an Apache Hadoop distribution powered by the cloud. Azure HDInsight makes the Hadoop components from the Hortonworks Data Platform (HDP) distribution available in the cloud, and deploys and provisions managed clusters with reliability and availability.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Media Services;IT;SE.DS.TMCore.MediaServices;Azure Media Services is an extensible cloud-based platform that enables developers to build scalable media management and delivery applications.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
SQL Data Warehouse;IT;SE.DS.TMCore.HTML5LS;Azure SQL Data Warehouse combines the SQL Server relational database with Azure cloud scale-out capabilities. Built on our massively parallel processing (MPP) architecture, SQL Data Warehouse can handle your enterprise workload.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Stream Analytics;IT;SE.AS.TMCore.StreamAnalytics;Azure Stream Analytics is a fully managed real-time event processing engine that helps to unlock deep insights from data.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
StorSimple;IT;SE.DS.TMCore.StorSimple;StorSimple and Microsoft Azure offer a unique and integrated primary storage archival and disaster recovery solution with Azure as the extension of on-premises storage.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Application Gateway;IT;SE.AA.TMCore.ApplicationGateway;Azure Application Gateway provides Application Deliver Controller (ADC) as a service.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Firewall;IT;SE.AA.TMCore.AzureFirewall;Cloud Security;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Firewall Manager;IT;95e20fa3-9e6e-45f1-82f7-53e533360f64;Azure Firewall Manager is a security management service that provides central security policy and route management for cloud-based security perimeters.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Virtual WAN;IT;SE.AA.TMCore.AzureVirtualWAN;Virtual WAN in the cloud;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Load Balancer;IT;SE.AA.TMCore.LoadBalancer;Azure Load Balancer delivers high availability and network performance to your applications;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
DNS;IT;SE.AA.TMCore.DNS;Azure DNS (Domain Name System) is a service for DNS domains provide name resolution using Microsoft Azure infrastructure.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Network Watcher;IT;SE.AS.TMCore.NetworkWatcher;Network Watcher is designed to monitor and repair the network health of Infrastructure as a Service products, which include Virtual Machines, Virtual Networks, Application Gateways, Load Balancers, etc.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Network Interface;IT;d3ccbf37-b2cc-4f76-9c8c-767d17467286;A network interface enables a virtual machine to communicate with Internet, Azure, and on-premises resources.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Public IP Prefixes;IT;1ac57aa2-077f-4c3f-8b99-e386d9f80066;A public IP address prefix is a reserved range of public IP addresses in Azure.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Traffic Manager;IT;SE.AS.TMCore.TrafficManager;Azure Traffic Manager allows you to control the distribution of user traffic for service endpoints in different regions.;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
VPN Gateway;IT;SE.AA.TMCore.VPNGateway;Azure VPN Gateway is a virtual private network (VPN) gateway used to send network traffic between Azure virtual networks and on-premises locations and also between virtual networks within Azure (VNet-to-VNet).;45a3e942-4da4-4235-920e-a13a5b89590c;Azure Networking Asset;Azure Networking Components and Services.;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
IoT Central;IT;SE.ID.TMCore.IoTCentral;SaaS for IoT;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
IoT Device;IT;SE.ID.TMCore.IoTDevice;An IoT client agent which generates and sends telemetry data to the cloud, and receives messages from the cloud;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
IoT Hub;IT;SE.ID.TMCore.IoTHub;Azure IoT Hub is a fully managed service that enables reliable and secure bidirectional communications between millions of IoT devices and a solution back end.;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Azure Digital Twins;IT;SE.ID.TMCore.AzureDigitalTwins;Digital Replicas of spaces and infrastructure.;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Authorization Provider;IT;SE.EI.TMCore.AuthProvider;"
      A representation of an external authorization provider.";GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Browser;IT;SE.EI.TMCore.Browser;Web Browser Client;GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Dynamics CRM Mobile Client;IT;SE.EI.TMCore.DynamicsCRMMobileClient;A representation of Dynamics CRM Mobile Client Applications;GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Human User;IT;SE.EI.TMCore.HumanUser;A human user of the system;GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Megaservice;IT;SE.EI.TMCore.Megasevrice;"
      A large service that has only one instance on the Internet, for example, Outlook.com and Xbox Live.";GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Mobile Client;IT;SE.EI.TMCore.MobileClient;A representation of a Mobile Client Application (Mobile App);GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Dynamics CRM Outlook Client;IT;SE.EI.TMCore.DynamicsCRMOutlookClient;A representation of Dynamics CRM Outlook Client;GE.EI;Generic External Interactor;"
      A representation of an external interactor.";ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Salesforce;IT;SE.CS.TMCore.Salesforce;A representation of Saslesforce;GE.CS;Cloud SaaS Services;A representation of a Cloud Software as a Serice endpoint;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
Splunk;IT;0059ca3e-f25c-4e8c-bc4c-75b578f59c11;Extensible data platform powers unified security, full-stack observability and limitless custom applications.;GE.CS;Cloud SaaS Services;A representation of a Cloud Software as a Serice endpoint;ROOT;FALSO;0;Lower right of stencil;Any;Any;;
ADFS;IT;SE.AA.TMCore.ADFS;A representation of Active Directory Federation Services (ADFS) Server;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Azure AD;IT;SE.AA.TMCore.AzureAD;Azure Active Directory;GE.AA;Azure Asset;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Assets are considered foundational or infrasture services or compements that provide the scafolding for your Cloud Services.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Azure Portal;IT;SE.AS.TMCore.AzurePortal;A representation of Azure  Portal;GE.AS;Azure Service;Microsoft Azure is a growing collection of integrated cloud services—analytics, computing, database, mobile, networking, storage, and web. Services are the building blocks for your solutions on Azure.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
CDN;IT;SE.DF.TMCore.CDN;Azure Content Delivery Network (CDN) provides developers a global solution for delivering high-bandwidth content that is hosted in Azure or any other location.;GE.DS;Azure Data Service;"
Azure Data fabrics and related services.";ROOT;FALSO;0;Before label;Any;Any;;
Azure Firewall Boundary;IT;SE.ATB.B.TMCore.AzureFirewallBoundary;Azure network security service boundary;c1ab3a0e-08e2-4a9e-a3ed-75f12f43b93a;Azure Networking Boundary;A border representation of a network boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Azure Front Door;IT;2c05a5c2-d4f9-45f5-9fee-ddff619b223c;Deliver optimized user experiences with a modern content delivery network (CDN) service;798384fa-4c77-4b7c-b4dc-82885c8d5bed;Azure Networking Flow;Core Azure Flow Networking Services.;ROOT;FALSO;0;Before label;Any;Any;;
IoT Cloud Gateway;IT;SE.ID.TMCore.IoTCloudGateway;A high-scale service enabling secure bidirectional communication from variety of devices.;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Centered on stencil;Any;Any;;
IoT Edge;IT;SE.ID.TMCore.IoTEdge;"Azure IoT Edge is an Internet of Things (IoT) service that builds on top of IoT Hub. This service is meant for customers who want to analyze data on devices, a.k.a. ""at the edge"", instead of in the cloud.";GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Centered below label;Any;Any;;
IoT Field Gateway;IT;SE.ID.TMCore.IoTFieldGateway;A specialized device that acts as a communication enabler between an IoT device and a cloud backend;GE.ID;IoT Devices;Internet of Things Devices;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Azure IaaS VM Trust Boundary;IT;SE.ATB.B.TMCore.AzureIaaSVMTrustBoundary;A representation of Azure IaaS VM Trust Boundary;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Azure Trust Boundary;IT;SE.ATB.B.TMCore.AzureTrustBoundary;A border representation of Azure Trust Boundary, also referred to as Azure Services Zone;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
IoT Cloud Gateway Zone;IT;SE.ATB.B.TMCore.IoTCloudGatewayZone;A border representation of a  Cloud Gateway Zone, also referred to as Cloud Gateway Trust Boundary;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
IoT Device Zone;IT;SE.ATB.B.TMCore.IoTDeviceZone;A border representation of a Device Zone, also referred to as Device Trust Boundary;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
IoT Field Gateway Zone;IT;SE.ATB.B.TMCore.IoTFieldGatewayZone;A border representation of a Field Gateway Zone, also referred to as Field Gateway Trust Boundary;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Management Group Trust Boundary;IT;SE.ATB.B.TMCore.ManagementGroupTrustBoundary;Azure Management groups provide a level of scope above subscriptions.;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Service Fabric Trust Boundary;IT;SE.ATB.B.TMCore.ServiceFabricTrustBoundary;A representation of Service Fabric Cluster for stand-alone or cloud environments;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Azure Internet Boundary;IT;SE.ATB.L.TMCore.AzureInternetBoundary;An arc representation of an Internet trust boundary.;GE.ATB.L;Azure Trust Line Boundary;An arc representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Azure Service Boundary;IT;SE.ATB.L.TMCore.AzureServiceBoundary;An arc representation of an Azure Service trust boundary.;GE.ATB.L;Azure Trust Line Boundary;An arc representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Container Boundary;IT;SE.ATB.L.TMCore.ContainerBoundary;A border representation for an Azure  Container boundary.;GE.ATB.L;Azure Trust Line Boundary;An arc representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Virtual Machine Boundary;IT;SE.ATB.L.TMCore.VirtualMachineBoundary;An arc representation of a virtual machine trust boundary.;GE.ATB.L;Azure Trust Line Boundary;An arc representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;;
Applications Running on a non Microsoft OS;IT;SE.P.TMCore.NonMS;"
      Microsoft applications running on operating systems from Google or Apple.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Browser Client;IT;SE.P.TMCore.BrowserClient;"
      A representation of a browser client.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Host;IT;SE.P.TMCore.Host;A representation of a machine e.g., on-prem or azure server that hosts an application;GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered below label;Any;Any;;
Identity Server;IT;SE.P.TMCore.IdentityServer;A representation of Identity Server;GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Native Application;IT;SE.P.TMCore.WinApp;"
      A representation of a Win32 or Win64 application.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Managed Application;IT;SE.P.TMCore.NetApp;"
      A representation of a .NET Web application.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
OS Process;IT;SE.P.TMCore.OSProcess;"
      A Windows Process.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Thick Client;IT;SE.P.TMCore.ThickClient;"
      A representation of a thick client.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Virtual Machine;IT;SE.P.TMCore.VM;"
      A virtual machine running in a Hyper-V partition.";GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
WCF;IT;SE.P.TMCore.WCF;Windows Communication Foundation WCF is Microsoft s unified programming model for building service oriented applications.;GE.P;Generic Process;A representation of a generic process.;ROOT;FALSO;0;Centered on stencil;Any;Any;;
AMQP;IT;SE.DF.TMCore.AMQP;The Advanced Message Queuing Protocol (AMQP) is an open standard application layer protocol for message-oriented middleware. The defining features of AMQP are message orientation, queuing, routing (including point-to-point and publish-and-subscribe), reliability and security.[;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
ExpressRoute;IT;SE.DF.TMCore.ExpressRoute;Azure ExpressRoute lets you extend your on-premises networks into the Microsoft cloud over a dedicated private connection facilitated by a connectivity provider.;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
HTTPS;IT;SE.DF.TMCore.HTTPS;A representation of an HTTPS data flow.;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
Request;IT;SE.DF.TMCore.Request;Represents a request from a source to a target.;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
Response;IT;SE.DF.TMCore.Response;Represents a response from a target to a source;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
TLS;IT;SE.DF.TMCore.TLS;Transport Layer Security (TLS) – and its predecessor, Secure Sockets Layer (SSL) are cryptographic protocols that provide communications security over a computer network.;GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
UDP;IT;SE.DF.TMCore.UDP;"
      User Data Protocol Transport.";GE.DF;Data Flow; A unidirectional representation of the flow of data between elements.;ROOT;FALSO;0;Before label;Any;Any;;
CorpNet Trust Boundary;IT;SE.TB.B.TMCore.CorpNet;"
      A border representation of a corporate network trust boundary.";GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Internet Explorer Boundaries;IT;SE.TB.B.TMCore.IEB;"
      Describes the types of trust boundaries implemented by Internet Explorer.";GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Local User Zone;IT;SE.TB.B.TMCore.LocalUserZone;A border representation of a Local User Zone, also referred to as Local User Trust Boundary;GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Machine Trust Boundary;IT;SE.TB.L.TMCore.Machine;"
      An arc representation of a machine trust boundary.";GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Other Browsers Boundaries;IT;SE.TB.B.TMCore.NonIEB;"
      Describes the types of trust boundaries implemented by Google Chrome and Firefox.";GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Remote User Zone;IT;SE.TB.B.TMCore.RemoteUserZone;A border representation of a Remote User Zone, also referred to as Remote User Trust Boundary;GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Sandbox Trust Boundary Border;IT;SE.TB.B.TMCore.Sandbox;"
      A border representation of a sandbox trust boundary.";GE.TB.B;Generic Trust Border Boundary;"
        A border representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Internet Boundary;IT;SE.TB.L.TMCore.Internet;"
      An arc representation of an Internet trust boundary.";GE.TB.L;Generic Trust Line Boundary;"
        An arc representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
User mode or Kernel mode Boundary;IT;SE.TB.L.TMCore.Kernel;"
      A border representation of user-model / kernel-mode separation.";GE.TB.L;Generic Trust Line Boundary;"
        An arc representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
AppContainer Boundary;IT;SE.TB.L.TMCore.AppContainer;"
      A border representation for a Window Store AppContainer boundary.";GE.TB.L;Generic Trust Line Boundary;"
        An arc representation of a trust boundary.";ROOT;FALSO;0;Before label;Any;Any;;
Dynamics CRM;IT;SE.CS.TMCore.DynamicsCRM;A representation of Dynamics CRM;GE.CS;Cloud SaaS Services;A representation of a Cloud Software as a Serice endpoint;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Dynamics CRM Portal;IT;SE.CS.TMCore.DynamicsCRMPortal;A representation of Dynamics CRM Portal;GE.CS;Cloud SaaS Services;A representation of a Cloud Software as a Serice endpoint;ROOT;FALSO;0;Centered on stencil;Any;Any;;
Network Security Group;IT;SE.ATB.B.TMCore.NetworkSecurityGroup;A network security group is a layer of security that acts as a virtual firewall for controlling traffic in and out of virtual machines (via network interfaces) and subnets.;c1ab3a0e-08e2-4a9e-a3ed-75f12f43b93a;Azure Networking Boundary;A border representation of a network boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;3;
Virtual Network;IT;SE.ATB.B.TMCore.VirtualNetwork;An Azure Virtual Network (VNet) is a logical representation of your own network in the cloud.;c1ab3a0e-08e2-4a9e-a3ed-75f12f43b93a;Azure Networking Boundary;A border representation of a network boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;2;
Data Center Trust Boundary;IT;SE.ATB.B.TMCore.DataCenterTrustBoundary;Azure data center located in a region.;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;2;
Region Trust Boundary;IT;SE.ATB.B.TMCore.RegionTrustBoundary;Azure is generally available in 30 regions around the world, and has announced plans for 8 additional regions. Geographic expansion is a priority for Azure because it enables our customers to achieve higher performance and it support their requirements and preferences regarding data location.;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;4;
Resource Group Trust Boundary;IT;SE.ATB.B.TMCore.ResourceGroupTrustBoundary;A container that holds related resources for an Azure solution. The resource group can include all the resources for the solution, or only those resources that you want to manage as a group. You decide how you want to allocate resources to resource groups based on what makes the most sense for your organization.;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;0;Before label;Any;Any;5;
Subscription Trust Boundary;IT;SE.ATB.B.TMCore.SubscriptionTrustBoundary;Logical boundary of Azure Services;GE.ATB.B;Azure Trust Border Boundary;A border representation of a trust boundary within Azure.;ROOT;FALSO;5;Before label;Any;Any;1;
