Id;ShortTitle;Category;Description;Possible Mitigation(s);Severity;SDL Phase
TH3100;Uncontrolled HTTPS access from Browser Client to Functions;T;Uncontrolled HTTPS flow from Browser Client to Functions can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Browser Client to Functions, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3101;Uncontrolled TDS access from Azure Kubernetes Service to Azure SQL Database;IA;Uncontrolled TDS flow from Azure Kubernetes Service to Azure SQL Database can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure SQL Database and restrict inbound TDS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3102;Uncontrolled HTTPS access from Service Bus to Web Application;T;Uncontrolled HTTPS flow from Service Bus to Web Application can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Service Bus to Web Application, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3103;Weak identity controls on access from Web Application to Azure Storage;T;Uncontrolled HTTPS flow from Web Application to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3104;Uncontrolled TDS access from API App to Azure SQL Database;E;Uncontrolled TDS flow from API App to Azure SQL Database can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between API App and Azure SQL Database, removing admin-level permissions that are not strictly required.;High;
TH3105;Uncontrolled TDS access from Functions to Azure SQL Database;T;Uncontrolled TDS flow from Functions to Azure SQL Database can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Functions to Azure SQL Database, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3106;Insecure HTTP communication between Azure Data Factory and Azure Storage;I;Uncontrolled HTTP flow from Azure Data Factory to Azure Storage can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Factory and Azure Storage, and minimise the amount of data exposed.;High;
TH3107;Uncontrolled HTTPS access from Azure Kubernetes Service to CosmosDB;T;Uncontrolled HTTPS flow from Azure Kubernetes Service to CosmosDB can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Kubernetes Service to CosmosDB, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3108;Excessive privileges on access from Azure Synapse to Azure Storage;T;Uncontrolled HTTPS flow from Azure Synapse to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Synapse to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3109;Insecure secret and key handling between Azure Databricks and Azure Storage;T;Uncontrolled HTTPS flow from Azure Databricks to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Databricks to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3110;Uncontrolled HTTPS access from Web Application to CosmosDB;T;Uncontrolled HTTPS flow from Web Application to CosmosDB can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Web Application to CosmosDB, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3111;Uncontrolled HTTPS access from Stream Analytics to Azure Storage;T;Uncontrolled HTTPS flow from Stream Analytics to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Stream Analytics to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3112;Excessive data exposure from Azure Storage to Azure Data Factory;I;Uncontrolled HTTPS flow from Azure Data Factory to Azure Storage can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Factory and Azure Storage, and minimise the amount of data exposed.;High;
TH3113;Uncontrolled HTTPS access from API App to Azure Storage;R;Uncontrolled HTTPS flow from API App to Azure Storage can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between API App and Azure Storage, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3114;Excessive data exposure from Azure Search to Web Application;I;Uncontrolled HTTPS flow from Web Application to Azure Search can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Web Application and Azure Search, and minimise the amount of data exposed.;High;
TH3115;Excessive data exposure from Azure Redis Cache to Web Application;R;Uncontrolled TCP flow from Web Application to Azure Redis Cache can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Web Application and Azure Redis Cache, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3116;Overly open network path from Web Application to SQL Data Warehouse;IA;Uncontrolled TDS flow from Web Application to SQL Data Warehouse can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of SQL Data Warehouse and restrict inbound TDS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3117;Uncontrolled TCP access from Applications Running on a non Microsoft OS to Database;I;Uncontrolled TCP flow from Applications Running on a non Microsoft OS to Database can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Applications Running on a non Microsoft OS and Database, and minimise the amount of data exposed.;High;
TH3118;Uncontrolled LOCAL access from Mobile Client to Files;T;Uncontrolled LOCAL flow from Mobile Client to Files can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Mobile Client to Files, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3119;Uncontrolled HTTPS access from Data Lake Store to External Tenant;T;Uncontrolled HTTPS flow from Data Lake Store to External Tenant can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Data Lake Store to External Tenant, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3120;Uncontrolled HTTPS access from Analysis Services to Azure Storage;R;Uncontrolled HTTPS flow from Analysis Services to Azure Storage can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Analysis Services and Azure Storage, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3121;Uncontrolled HTTPS access from Azure DevOps Pipelines to Subscription Trust Boundary;E;Uncontrolled HTTPS flow from Azure DevOps Pipelines to Subscription Trust Boundary can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Azure DevOps Pipelines and Subscription Trust Boundary, removing admin-level permissions that are not strictly required.;High;
TH3122;Uncontrolled RDP access from Remote User Zone to Windows Virtual Machines;E;Uncontrolled RDP flow from Remote User Zone to Windows Virtual Machines can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Remote User Zone and Windows Virtual Machines, removing admin-level permissions that are not strictly required.;Critical;
TH3123;Uncontrolled SSH access from Remote User Zone to Linux Virtual Machines;IA;Uncontrolled SSH flow from Remote User Zone to Linux Virtual Machines can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Linux Virtual Machines and restrict inbound SSH traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;Critical;
TH3124;Insufficient security logging for traffic Web Application to Log Analytics;R;Uncontrolled HTTPS flow from Web Application to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Web Application and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3125;Access to Log Analytics without Web Application Firewall protection;R;Uncontrolled KQL flow from Azure Sentinal to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure Sentinal and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3126;Insufficient security logging for traffic Monitor to Operations Management Suite OMS;T;Uncontrolled HTTPS flow from Monitor to Operations Management Suite OMS can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Monitor to Operations Management Suite OMS, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3127;Insecure secret and key handling between Human User and Key Vault;T;Uncontrolled HTTPS flow from Human User to Key Vault can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Human User to Key Vault, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3128;Uncontrolled TDS access from Human User to Azure SQL Database;R;Uncontrolled TDS flow from Human User to Azure SQL Database can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Human User and Azure SQL Database, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3129;Uncontrolled RDP/SSH access from Human User to Virtual Machine;T;Uncontrolled RDP/SSH flow from Human User to Virtual Machine can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Human User to Virtual Machine, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3130;Overly open network path from Azure DevOps Pipelines to Network Security Group;T;Uncontrolled HTTPS flow from Azure DevOps Pipelines to Network Security Group can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure DevOps Pipelines to Network Security Group, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3131;Uncontrolled HTTPS access from Automation Runbook to Subscription Trust Boundary;E;Uncontrolled HTTPS flow from Automation Runbook to Subscription Trust Boundary can lead to privilege escalation or excessive privileges.;Apply least privilege on roles, identities and service principals used between Automation Runbook and Subscription Trust Boundary, removing admin-level permissions that are not strictly required.;High;
TH3132;Uncontrolled HTTPS access from Azure Cloud Shell to Azure Resources;R;Uncontrolled HTTPS flow from Azure Cloud Shell to Azure Resources can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure Cloud Shell and Azure Resources, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3133;Insufficient security logging for traffic Third Party SOC to Log Analytics;R;Uncontrolled HTTPS flow from Third Party SOC to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Third Party SOC and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3134;Uncontrolled HTTPS access from Authorization Provider to Subscription Trust Boundary;T;Uncontrolled HTTPS flow from Authorization Provider to Subscription Trust Boundary can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Authorization Provider to Subscription Trust Boundary, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3135;Uncontrolled HTTPS access from Remote User Zone to Azure Firewall Manager;T;Uncontrolled HTTPS flow from Remote User Zone to Azure Firewall Manager can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Remote User Zone to Azure Firewall Manager, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3136;Uncontrolled HTTPS access from Security Center to Operations Management Suite OMS;R;Uncontrolled HTTPS flow from Security Center to Operations Management Suite OMS can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Security Center and Operations Management Suite OMS, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3137;Weak identity controls on access from Human User to Applications Running on a non Microsoft OS;T;Uncontrolled TCP flow from Human User to Applications Running on a non Microsoft OS can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Human User to Applications Running on a non Microsoft OS, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3138;Uncontrolled MQTT/HTTPS access from Internet to IoT Hub;IA;Uncontrolled MQTT/HTTPS flow from Internet to IoT Hub can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of IoT Hub and restrict inbound MQTT/HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3139;Overly open network path from IoT Device to Virtual Network;T;Uncontrolled TCP/UDP flow from IoT Device to Virtual Network can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from IoT Device to Virtual Network, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3140;Uncontrolled MQTT/HTTPS access from Internet to IoT Edge;IA;Uncontrolled MQTT/HTTPS flow from Internet to IoT Edge can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of IoT Edge and restrict inbound MQTT/HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3141;Direct Internet access to ADFS without application-layer protection;D;Uncontrolled HTTPS flow from Internet to ADFS can lead to denial of service or resource exhaustion.;Rate-limit and filter HTTPS traffic from Internet to ADFS, using DDoS protection, throttling and input validation to prevent resource exhaustion.;High;
TH3142;Uncontrolled LDAP/LDAPS access from Internet to Active Directory Domain Services;IA;Uncontrolled LDAP/LDAPS flow from Internet to Active Directory Domain Services can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Active Directory Domain Services and restrict inbound LDAP/LDAPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3143;Weak identity controls on access from Remote User Zone to Azure DevOps Repos;IA;Uncontrolled HTTPS flow from Remote User Zone to Azure DevOps Repos can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure DevOps Repos and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3144;Overly open network path from Azure DevOps Pipelines to Host;T;Uncontrolled HTTPS flow from Azure DevOps Pipelines to Host can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure DevOps Pipelines to Host, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3145;Uncontrolled HTTPS access from Internet to Azure DevOps Artifacts;I;Uncontrolled HTTPS flow from Internet to Azure DevOps Artifacts can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Internet and Azure DevOps Artifacts, and minimise the amount of data exposed.;High;
TH3146;Weak identity controls on access from App Service to Azure DevOps;T;Uncontrolled HTTPS flow from App Service to Azure DevOps can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from App Service to Azure DevOps, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3147;Uncontrolled HTTPS access from Azure Data Share to External Tenant;I;Uncontrolled HTTPS flow from Azure Data Share to External Tenant can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Azure Data Share and External Tenant, and minimise the amount of data exposed.;High;
TH3148;Uncontrolled HTTPS access from Azure Purview Accounts to Azure Storage;T;Uncontrolled HTTPS flow from Azure Purview Accounts to Azure Storage can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Azure Purview Accounts to Azure Storage, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3149;Uncontrolled TDS access from Power BI Embedded to Azure SQL Database;T;Uncontrolled TDS flow from Power BI Embedded to Azure SQL Database can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Power BI Embedded to Azure SQL Database, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3150;Uncontrolled TDS access from Remote User Zone to Azure Synapse;T;Uncontrolled TDS flow from Remote User Zone to Azure Synapse can lead to tampering or unauthorized modification.;Validate and sanitise all inputs and commands flowing from Remote User Zone to Azure Synapse, and enforce integrity controls so that only authorised and expected operations are permitted.;Medium;
TH3151;Weak identity controls on access from Human User to Active Directory B2C;I;Uncontrolled HTTPS flow from Human User to Active Directory B2C can lead to sensitive data exposure.;Encrypt data in transit and at rest, avoid sending sensitive information in clear text between Human User and Active Directory B2C, and minimise the amount of data exposed.;High;
TH3152;Insufficient security logging for traffic Remote User Zone to Azure Portal;IA;Uncontrolled HTTPS flow from Remote User Zone to Azure Portal can lead to initial access from untrusted networks.;Place secure gateways (WAF, VPN, reverse proxy) in front of Azure Portal and restrict inbound HTTPS traffic from the Internet to authenticated, encrypted and strictly necessary endpoints.;High;
TH3153;Overly open network path from Virtual Network to Network Watcher;R;Uncontrolled Diagnostic flow from Virtual Network to Network Watcher can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Virtual Network and Network Watcher, and send logs to a central SIEM for alerting and investigations.;Medium;
TH3154;Insufficient security logging for traffic Azure Firewall to Log Analytics;R;Uncontrolled Diagnostic flow from Azure Firewall to Log Analytics can lead to lack of logging and accountability.;Enable detailed logging and security monitoring for traffic between Azure Firewall and Log Analytics, and send logs to a central SIEM for alerting and investigations.;Medium;
